Discover Battery AES 7.4kWhr / 48VDC with Xanbus Lithium (LFP) Battery,6478,LFP,192,3617,6.65,43.2,98,7.4,5000,100
Electriq PowerPod 2,13000,LFP,346,12375,7.6,540,96.6,10,5000,100
PHI 1310 12V,2100,LFP,32.65,650.39,0.48,0.768,98,102.4,10000,100
PHI 3.4 24V,2600,LFP,86,1512,1.9,2.05,98,3440,10000,100
SimpliPhi Power : Big Genny,2498,Lithium-Ion,45,2772,1.15,1.1,90,45,5000,100
SimpliPhi Power : Little Genny,1095,Lithium-Ion,19,1052.22,0.37,0.6,90,12,5000,100
SimpliPhi Power : AccESS,14735,Lithium-Ion,565,28672,10.2,12,90,201,10000,100
Tesla Powerwall+,8500,NMC,344,11751,7,100,90,13.5,1500,50
GS Battery: SLR1000-2,8000,Lead Acid,147.71,1359.86,2,2.174,90,1094,3000,50
GS Battery: SLX250-12,7500,Lead Acid,165.35,1774.83,3,9,90,250,3000,50
